u,v
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
0,10
0,11
0,12
0,13
0,14
0,15
0,16
0,17
0,18
0,19
0,20
0,21
0,22
0,23
0,24
0,25
0,26
0,27
0,28
0,29
0,30
0,31
0,32
0,33
0,34
0,35
0,36
0,37
0,38
0,39
0,40
0,41
0,42
0,43
0,44
0,45
0,46
0,47
0,48
0,49
0,50
0,51
0,52
0,53
0,54
0,55
0,56
0,57
0,58
0,59
0,60
0,61
0,62
0,63
0,64
0,65
0,66
0,67
0,68
0,69
0,70
0,71
0,72
0,73
0,74
0,75
0,76
0,77
0,78
0,79
0,80
0,81
0,82
0,83
0,84
0,85
0,86
0,87
0,88
0,89
0,90
0,91
0,92
0,93
0,94
0,95
0,96
0,97
0,98
0,99
0,100
0,101
0,102
0,103
0,104
0,105
0,106
0,107
0,108
0,109
0,110
0,111
0,112
0,113
0,114
0,115
0,116
0,117
0,118
0,119
0,120
0,121
0,122
0,123
0,124
0,125
0,126
0,127
0,128
0,129
0,130
0,131
0,132
0,133
0,134
0,135
0,136
0,137
0,138
0,139
0,140
0,141
0,142
0,143
0,144
0,145
0,146
0,147
147,148
147,149
147,150
147,151
147,152
147,153
147,154
147,155
147,156
147,157
147,158
147,159
147,160
159,161
159,162
159,153
159,163
159,164
159,157
159,165
159,166
159,167
159,168
159,169
159,170
159,171
159,172
159,173
159,174
159,175
159,176
159,177
159,178
159,179
159,180
159,156
178,181
178,169
178,182
178,164
178,173
178,183
178,184
178,185
178,186
178,156
178,187
178,188
178,189
178,170
178,168
178,166
178,190
178,191
178,192
178,175
178,193
178,194
178,195
178,196
178,197
178,198
198,185
198,182
198,164
198,184
198,199
198,194
198,186
198,191
198,168
198,193
198,175
198,189
198,197
198,190
198,173
198,169
198,196
198,195
198,170
198,166
198,156
198,187
198,181
198,192
199,169
199,200
199,175
199,201
199,202
199,164
199,203
199,166
199,204
199,205
199,170
205,201
205,175
205,170
205,164
205,202
205,166
205,203
205,200
205,206
205,169
205,207
207,175
207,201
207,208
207,202
207,166
207,164
207,169
207,200
207,170
207,203
207,209
207,199
209,210
209,203
209,200
209,170
209,205
209,208
209,169
209,166
209,202
209,211
209,212
209,201
209,213
209,175
209,164
209,214
209,199
209,215
209,216
209,217
213,210
213,214
213,215
213,216
211,218
211,219
211,220
211,221
211,169
211,222
211,223
211,224
211,225
211,226
224,66
224,9
224,43
224,71
224,21
224,92
224,147
224,109
224,132
224,118
224,1
224,16
224,110
224,35
224,53
224,93
224,119
224,103
224,45
224,80
224,127
224,113
224,131
224,5
224,106
224,12
224,49
224,24
224,29
224,65
224,27
224,129
224,63
224,62
224,89
224,96
224,57
224,17
224,74
224,138
224,100
224,4
224,55
224,50
224,91
224,135
224,42
224,2
224,58
224,95
224,136
224,115
224,13
224,78
224,82
224,77
224,79
224,40
224,139
224,61
224,30
224,73
224,98
224,125
224,81
224,88
224,146
224,102
224,8
224,48
224,143
224,145
224,39
224,70
224,3
224,87
224,32
224,20
224,140
224,141
224,22
224,18
224,25
224,124
224,69
224,114
224,99
224,15
224,31
224,56
224,122
224,105
224,33
224,120
224,38
224,76
224,64
224,130
224,107
224,51
224,90
224,111
224,36
224,46
224,97
224,47
224,6
224,85
224,23
224,44
224,83
224,117
224,133
224,126
224,10
224,68
224,19
224,28
224,11
224,121
224,84
224,41
224,128
224,54
224,72
224,37
224,144
224,142
224,123
224,137
224,86
224,14
224,101
224,52
224,59
224,34
224,116
224,94
224,227
224,67
224,7
224,104
224,26
224,75
224,134
224,108
224,112
224,60
227,228
227,229
227,230
227,231
227,232
227,233
227,234
227,235
227,236
227,237
227,238
227,239
227,240
227,241
227,242
227,243
227,244
227,245
227,246
227,247
227,248
227,85
227,68
227,249
227,250
227,251
227,55
227,252
227,72
227,253
227,254
254,250
254,255
254,68
254,256
254,245
254,231
254,253
254,257
254,248
254,238
254,237
254,240
254,258
254,232
254,251
254,72
254,234
254,259
254,244
254,230
254,260
254,243
254,261
254,228
261,253
261,231
261,227
261,262
261,248
261,244
261,242
261,250
261,240
261,263
261,230
261,237
261,68
261,251
261,125
261,232
261,228
261,245
261,72
261,264
261,241
261,233
261,243
261,234
261,238
264,50
264,83
264,21
264,75
264,102
264,113
264,133
264,79
264,134
264,40
264,51
264,96
264,129
264,121
264,15
264,61
264,104
264,98
264,137
264,60
264,66
264,43
264,138
264,74
264,25
264,136
264,76
264,47
264,265
264,120
264,68
264,87
264,266
264,109
264,17
264,139
264,108
264,70
264,93
264,26
264,118
264,88
264,125
264,267
264,36
264,30
264,20
264,90
264,142
264,103
264,37
264,119
264,52
264,49
264,95
264,94
264,7
264,46
264,146
264,91
264,145
264,80
264,63
264,78
264,144
264,89
264,56
264,132
264,123
264,59
264,105
264,86
264,54
264,85
264,16
264,1
264,141
264,99
264,58
264,130
264,110
264,0
264,12
264,77
264,8
264,28
266,268
266,125
266,269
266,270
266,271
266,272
266,273
266,151
266,274
266,275
266,276
266,277
266,278
266,279
266,280
266,281
266,282
266,283
283,284
283,285
283,286
283,287
283,288
283,289
283,290
283,291
283,292
283,293
283,294
283,295
283,296
283,297
283,298
283,299
283,300
283,151
283,41
300,151
300,295
300,284
300,296
300,290
300,41
300,294
300,285
300,299
300,289
300,291
300,288
300,293
300,292
300,297
300,286
299,41
299,291
299,297
299,289
299,284
299,70
299,137
299,296
299,294
299,293
299,285
299,295
299,151
299,286
299,288
299,290
299,292
298,295
298,41
298,289
298,294
298,286
298,288
298,297
298,296
298,300
298,151
298,291
298,293
298,284
298,299
298,285
298,290
298,292
297,294
297,295
297,284
297,286
297,288
297,41
297,290
297,291
297,285
297,289
297,292
297,293
297,296
297,151
296,294
296,288
296,285
296,289
296,290
296,286
296,151
296,295
296,284
296,292
296,291
296,293
296,41
295,284
295,292
295,290
295,289
295,291
295,288
295,286
295,294
295,41
295,293
295,285
295,151
294,290
294,151
294,289
294,291
294,285
294,288
294,284
294,286
294,293
294,41
294,292
293,290
293,41
293,284
293,151
293,292
293,285
293,289
293,291
293,288
293,286
292,41
292,284
292,291
292,285
292,288
292,286
292,289
292,290
292,151
291,289
291,284
291,286
291,41
291,151
291,290
291,285
291,288
290,41
290,284
290,289
290,285
290,151
290,288
290,286
289,286
289,41
289,151
289,284
289,285
289,288
288,285
288,151
288,284
288,286
288,41
287,288
287,291
287,296
287,151
287,295
287,284
287,290
287,285
287,300
287,292
287,289
287,293
287,294
287,297
287,286
287,41
287,299
286,284
286,151
286,285
286,41
285,284
285,285
285,151
284,41
284,151
282,151
282,274
282,273
282,268
282,275
282,278
282,270
282,279
282,269
282,280
282,277
282,271
282,281
282,272
282,276
282,283
282,125
281,277
281,151
281,279
281,270
281,273
281,283
281,269
281,125
281,278
280,273
280,274
280,275
280,270
280,151
280,272
280,277
280,269
280,268
280,283
280,125
280,281
280,271
280,279
280,278
280,276
279,269
279,151
279,283
279,273
279,278
279,277
279,125
279,270
278,151
278,269
