0,5
0,6
0,9
0,12
0,14
0,15
0,18
0,21
0,24
0,27
0,28
1,0
1,4
1,7
1,13
1,16
1,19
1,22
1,27
1,28
2,0
2,2
2,5
2,8
2,9
2,11
2,13
2,14
2,17
2,20
2,24
2,29
3,6
3,9
3,12
3,13
3,15
3,18
3,21
3,24
3,25
3,27
3,28
4,4
4,7
4,10
4,13
4,16
4,22
5,5
5,11
5,18
5,20
5,23
5,25
5,26
5,29
6,6
6,7
6,9
6,12
6,15
6,16
6,24
7,10
7,14
7,18
7,19
7,21
7,22
8,5
8,6
8,8
8,11
8,14
8,20
8,23
8,29
9,9
9,12
9,15
9,18
9,21
9,27
10,1
10,10
10,13
10,15
10,19
10,25
10,28
11,1
11,11
11,13
11,14
11,20
11,26
11,29
12,12
12,24
12,27
13,13
13,16
14,1
14,5
14,6
14,12
14,14
14,17
14,20
14,21
14,23
14,26
14,29
15,11
15,15
15,18
15,21
15,24
15,27
16,5
16,7
16,16
16,19
16,22
16,28
17,5
17,11
17,17
17,20
17,26
17,29
18,2
18,6
18,11
18,18
18,21
18,23
18,24
18,27
19,13
19,19
19,21
19,22
19,25
19,27
20,3
20,4
20,12
20,16
20,20
20,26
20,27
20,29
21,1
21,6
21,12
21,21
21,25
21,27
22,10
22,22
22,26
22,28
23,2
23,11
23,17
23,20
23,23
24,19
24,27
25,4
25,7
25,13
25,16
25,22
25,26
25,28
26,2
26,4
26,24
26,29
27,6
27,14
27,27
28,4
28,7
28,11
28,12
28,28
29,1
29,23
